t,sym,px,qty,b1sz,b1px,a1px,a1sz
2020-04-06D09:05:21.771175000,2330,0,0,223,2725000,2730000,207
2020-04-06D09:05:21.864428000,2330,0,0,223,2725000,2730000,212
2020-04-06D09:05:21.897857000,2330,0,0,223,2725000,2730000,212
2020-04-06D09:05:22.058070000,2330,0,0,223,2725000,2730000,213
2020-04-06D09:05:22.212123000,2330,0,0,223,2725000,2730000,213
2020-04-06D09:05:22.637257000,2330,0,0,223,2725000,2730000,213
2020-04-06D09:05:22.902639000,2330,2730000,1,223,2725000,2730000,212
2020-04-06D09:05:23.247791000,2330,0,0,223,2725000,2730000,212
2020-04-06D09:05:23.514167000,2330,0,0,223,2725000,2730000,212
2020-04-06D09:05:23.879099000,2330,0,0,233,2725000,2730000,212
2020-04-06D09:05:24.039978000,2330,2725000,2,231,2725000,2730000,212
2020-04-06D09:05:24.336270000,2330,2730000,1,231,2725000,2730000,211
2020-04-06D09:05:24.392016000,2330,2730000,1,231,2725000,2730000,210
2020-04-06D09:05:24.418130000,2330,0,0,232,2725000,2730000,210
2020-04-06D09:05:24.476842000,2330,0,0,232,2725000,2730000,213
2020-04-06D09:05:24.603518000,2330,0,0,232,2725000,2730000,213
2020-04-06D09:05:24.633438000,2330,0,0,232,2725000,2730000,214
2020-04-06D09:05:24.668986000,2330,0,0,232,2725000,2730000,214
2020-04-06D09:05:25.133554000,2330,0,0,232,2725000,2730000,214
2020-04-06D09:05:25.148052000,2330,0,0,232,2725000,2730000,214
2020-04-06D09:05:25.162437000,2330,0,0,232,2725000,2730000,214
2020-04-06D09:05:25.169879000,2330,0,0,232,2725000,2730000,214
2020-04-06D09:05:25.538519000,2330,0,0,232,2725000,2730000,214
2020-04-06D09:05:25.962003000,2330,0,0,232,2725000,2730000,214
2020-04-06D09:05:26.505466000,2330,0,0,232,2725000,2730000,216
2020-04-06D09:05:26.891422000,2330,0,0,232,2725000,2730000,216
2020-04-06D09:05:26.987207000,2330,2730000,1,232,2725000,2730000,215
2020-04-06D09:05:27.287393000,2330,0,0,232,2725000,2730000,215
2020-04-06D09:05:28.450573000,2330,0,0,232,2725000,2730000,219
2020-04-06D09:05:28.452021000,2330,0,0,232,2725000,2730000,219
2020-04-06D09:05:28.551558000,2330,0,0,233,2725000,2730000,219
2020-04-06D09:05:28.816288000,2330,0,0,233,2725000,2730000,219
2020-04-06D09:05:29.506312000,2330,2730000,1,233,2725000,2730000,218
2020-04-06D09:05:29.791414000,2330,0,0,233,2725000,2730000,218
2020-04-06D09:05:29.977586000,2330,0,0,233,2725000,2730000,218
2020-04-06D09:05:30.029289000,2330,0,0,232,2725000,2730000,218
2020-04-06D09:05:30.118720000,2330,2725000,5,227,2725000,2730000,218
2020-04-06D09:05:30.415654000,2330,0,0,227,2725000,2730000,218
2020-04-06D09:05:30.846436000,2330,0,0,228,2725000,2730000,218
2020-04-06D09:05:31.504401000,2330,0,0,228,2725000,2730000,219
2020-04-06D09:05:31.642407000,2330,0,0,228,2725000,2730000,223
2020-04-06D09:05:31.711785000,2330,0,0,228,2725000,2730000,223
2020-04-06D09:05:31.827885000,2330,0,0,230,2725000,2730000,223
2020-04-06D09:05:32.077733000,2330,0,0,230,2725000,2730000,223
